Geneid,glyphosatea,glyphosateb,watera,waterb
LOC122597209,134,96,198,125
LOC122605683,223,298,498,256
LOC122609297,18,20,41,26
LOC122609237,3,5,11,4
LOC122611147,0,0,0,0
LOC122586067,2,4,4,4
LOC122585409,713,1226,3298,2390
LOC122585407,121,106,295,209
LOC122585926,20,0,3,3
LOC122585879,320,245,554,380
LOC122600353,3678,3655,2832,2130
LOC122581096,367,344,542,391
LOC122585142,104,168,409,232
LOC122608487,461,525,2111,1528
LOC122578865,7,11,44,10
LOC122578972,0,0,0,0
LOC122602434,284,339,1561,1615
LOC122579127,4,2,3,2
LOC122603803,1673,1652,1787,1370
LOC122585941,22,61,10,15
LOC122605585,298,311,573,300
LOC122610289,64,55,62,66
LOC122584855,143,149,327,224
LOC122600784,854,648,1157,995
LOC122600806,84,65,405,264
LOC122601716,421,479,724,559
LOC122586748,1,2,2,2
LOC122581807,94,94,195,209
LOC122605251,560,515,1149,1031
LOC122580759,0,0,0,0
LOC122585615,308,227,423,324
LOC122585614,54,63,95,54
LOC122584735,715,609,20,10
LOC122584668,36,127,426,671
LOC122578316,104,116,369,256
LOC122580890,2,2,3,5
LOC122578349,1,1,8,8
LOC122585519,1,1,2,1
LOC122581191,0,0,0,0
LOC122591848,0,0,0,0
LOC122585985,0,0,0,0
LOC122585134,12,11,0,1
LOC122581386,0,1,0,0
LOC122603098,664,581,757,634
LOC122581642,0,0,0,0
LOC122610575,508,464,1201,657
LOC122585183,0,3,7,0
LOC122585858,85,115,242,58
LOC122599739,7227,4654,3708,3292
LOC122581879,4,1,0,2
LOC122606992,129,217,1616,1513
LOC122585293,1,1,21,46
LOC122610109,299,445,548,412
LOC122586018,13,15,36,29
LOC122604569,488,409,800,797
LOC122604883,805,602,737,832
LOC122606849,1436,1154,647,381
LOC122581032,9,196,280,9
LOC122608076,521,684,1372,766
LOC122582567,2,5,17,6
LOC122588484,2,2,1,1
LOC122597850,91,64,79,97
LOC122584781,61,81,194,161
LOC122582936,0,0,0,1
LOC122583036,0,0,2,0
LOC122608170,494,583,896,574
LOC122599174,1152,840,1239,950
LOC122585389,15,28,57,22
LOC122579765,242,206,262,195
LOC122580431,700,310,397,414
LOC122583280,0,0,0,0
TRNAG-UCC,0,0,0,0
LOC122585621,52,50,100,63
LOC122584709,75,89,181,148
LOC122585618,656,814,4,0
LOC122611323,236,365,2169,2185
LOC122584672,0,0,0,0
LOC122604131,6315,3725,2453,1531
LOC122584691,0,0,0,0
LOC122597065,264,280,359,278
LOC122597104,1215,1535,189,107
LOC122597094,344,482,101,111
LOC122597082,51,59,152,161
LOC122583306,406,490,451,309
LOC122583327,345,856,1359,680
LOC122583142,50,81,84,37
LOC122583151,75,100,142,114
LOC122584816,161,209,240,183
LOC122582401,47,29,405,612
LOC122599884,4742,4198,4169,4125
LOC122585157,384,374,2029,1874
LOC122585158,5824,6878,10593,7912
LOC122584740,0,0,0,0
LOC122609562,2278,3117,2110,1519
LOC122609551,85,188,415,183
LOC122580941,1000,1253,1297,932
LOC122585766,859,729,733,645
LOC122585077,1,0,0,0
LOC122584987,743,712,686,503
LOC122584785,0,0,0,0
LOC122609095,131,215,1410,1128
LOC122585869,1,1,0,2
LOC122584814,0,0,0,0
LOC122578041,701,637,102,68
LOC122586040,20,18,45,35
LOC122607002,430,324,307,284
LOC122585248,463,326,24,11
LOC122584835,9,14,83,57
LOC122597923,422,291,31,8
LOC122584921,2,2,1,0
LOC122585181,123,145,15,2
LOC122584929,0,0,0,0
LOC122585942,5069,5982,259,132
LOC122584948,0,0,0,0
LOC122584833,42,133,267,266
LOC122610775,0,1,7,3
LOC122584960,0,2,2,0
LOC122585525,50,44,80,82
LOC122585916,6,11,9,11
LOC122585227,125,137,204,127
LOC122588378,18,10,12,6
LOC122585081,27,13,37,14
LOC122585009,0,1,3,0
LOC122585051,1,0,0,0
LOC122585031,138,178,253,172
LOC122585572,19,17,32,20
LOC122584690,231,325,34,18
LOC122607468,214,98,144,193
LOC122584717,244,233,179,137
LOC122606245,3259,2067,191,53
LOC122585534,3269,3138,9224,6209
TRNAG-UCC_1,0,0,0,0
LOC122605144,692,348,1152,1136
LOC122585233,880,4,2,69
LOC122605925,839,618,1422,906
LOC122585277,0,0,0,0
LOC122585291,3,3,3,0
LOC122608970,533,470,498,420
LOC122585979,37,183,56,4
LOC122585305,1,2,23,12
LOC122584932,601,502,901,690
LOC122585303,3201,3048,25,9
LOC122604901,301,625,5642,5110
LOC122585343,0,0,0,0
LOC122586003,3,8,24,3
LOC122585353,3,11,32,6
LOC122585363,19,30,57,12
LOC122600079,1,13,41,4
LOC122585392,9,0,0,17
LOC122585419,0,0,0,0
LOC122585451,1,2,1,1
LOC122585455,0,0,0,0
LOC122585483,0,1,1,1
LOC122585488,81,69,305,206
LOC122585596,13,32,92,33
LOC122586186,7,4,3,1
LOC122586218,7,1,1,0
LOC122586219,12,2,1,4
LOC122586227,7,1,0,1
LOC122611158,371,228,122,77
LOC122585531,4,16,86,11
LOC122609479,748,731,710,581
LOC122584761,1436,1122,999,751
LOC122584891,168,110,121,109
LOC122599823,257,416,24,7
LOC122585583,0,0,0,0
LOC122599834,0,1,0,0
LOC122585663,0,1,5,0
LOC122585676,0,0,0,0
LOC122585682,0,0,0,0
LOC122585683,7,6,6,5
LOC122585697,1,1,1,0
LOC122585701,0,0,0,0
LOC122585709,0,0,0,0
LOC122588265,0,0,5,2
LOC122610116,477,290,280,327
LOC122586028,88,54,80,90
LOC122584955,343,322,327,269
LOC122585485,137,167,502,418
LOC122608414,680,589,1134,966
TRNAR-ACG,0,0,0,0
LOC122588354,11,2,5,4
LOC122586037,8,11,37,32
LOC122588446,1,0,3,0
TRNAR-ACG_1,0,0,0,0
LOC122582373,72,120,981,788
LOC122588630,705,846,145,32
LOC122588726,0,0,0,0
LOC122588812,1,1,1,1
LOC122585021,1,1,1,0
LOC122585971,945,580,329,332
LOC122585972,423,269,165,132
LOC122585973,3,4,9,10
LOC122584966,121,101,146,118
LOC122585163,485,753,1629,929
LOC122589001,0,0,0,0
LOC122589192,0,0,0,0
LOC122589281,0,0,0,0
LOC122583443,218,221,260,292
LOC122589375,0,0,0,0
LOC122585184,750,487,656,676
LOC122605833,2281,1282,211,123
LOC122583473,288,372,504,377
LOC122609245,193,347,296,155
LOC122586174,404,444,484,357
LOC122585712,123,43,98,132
LOC122585940,6,163,248,9
